#{"t_start": 1710451531.4644375, "env_id": "CartPole-v1"}
r,l,t
12.0,12,2.76072
17.0,17,2.814558
10.0,10,2.981047
33.0,33,3.218056
33.0,33,3.442773
28.0,28,3.646565
15.0,15,3.662546
35.0,35,3.886182
28.0,28,4.122563
50.0,50,4.528764
55.0,55,4.856478
56.0,56,5.272764
180.0,180,6.550522
162.0,162,7.668306
263.0,263,9.427747
181.0,181,10.750954
202.0,202,12.239478
99.0,99,12.971246
160.0,160,14.071404
120.0,120,15.020424
120.0,120,15.897018
125.0,125,16.699386
128.0,128,17.616294
145.0,145,18.703163
226.0,226,20.410094
130.0,130,21.350435
136.0,136,22.297617
500.0,500,32.969696
500.0,500,36.541763
500.0,500,40.041445
500.0,500,43.696486
500.0,500,47.259486
500.0,500,50.636634
500.0,500,54.212998
500.0,500,64.880543
500.0,500,68.456829
500.0,500,71.996206
500.0,500,75.459205
500.0,500,79.088165
500.0,500,82.590616
500.0,500,93.183734
500.0,500,96.819997
500.0,500,100.251287
500.0,500,103.896857
500.0,500,107.746799
500.0,500,111.233982
500.0,500,122.347732
500.0,500,125.925983
500.0,500,129.395145
500.0,500,133.014162
500.0,500,136.602317
500.0,500,140.269246
500.0,500,150.973922
500.0,500,154.468988
500.0,500,158.212109
500.0,500,161.875432
500.0,500,165.303318
500.0,500,168.982395
500.0,500,172.533088
