#{"t_start": 1710454730.4328942, "env_id": "LunarLander-v2"}
r,l,t
-210.113728,73,0.094879
-105.902225,90,0.182271
-275.25563,110,0.263544
-172.428711,126,0.35849
-70.371859,69,0.406973
-136.924242,82,1.032543
-245.469367,129,1.134313
-123.836161,100,1.212298
-220.192657,96,1.287787
-93.708684,121,1.382334
-103.449856,130,2.004533
-126.15868,70,2.055712
-175.519451,102,2.140079
-78.977879,138,2.242419
-27.919177,124,2.798031
-94.213504,72,2.854662
-67.646964,77,2.909469
-165.669891,92,2.976212
-84.814903,67,3.025007
-326.531197,148,3.15602
-376.48076,138,3.713984
-81.224261,65,3.764495
-271.990345,125,3.858761
-213.702873,143,3.976805
-104.338425,92,4.561225
-105.232376,107,4.649906
-27.8841,74,4.70804
-73.034349,91,4.782857
-140.795201,97,4.858151
-86.964382,75,4.923644
-106.192966,69,5.512792
-75.769529,93,5.581503
-115.934208,135,5.693545
-94.435148,70,5.746683
-113.613189,95,5.8203
-163.376793,94,5.892237
-103.736627,83,6.390961
-105.153677,60,6.440405
-39.636056,100,6.533902
-172.218024,85,6.595701
-152.407607,85,6.659867
-72.8702,87,6.724381
-70.881285,89,7.253281
-94.34772,116,7.339135
-79.421907,84,7.40722
-113.696118,115,7.509497
-54.984148,91,7.589948
-69.782177,76,8.131877
-67.714012,88,8.203628
-49.618406,115,8.292457
-42.132829,77,8.353862
-78.01845,103,8.434361
-106.87855,102,9.08699
-58.11684,111,9.169195
-69.951685,128,9.265917
-87.983922,91,9.335217
-107.524797,107,9.423277
-125.370227,87,10.005331
-81.671739,83,10.067664
-70.350772,106,10.15482
-53.212421,99,10.233395
-76.769269,108,10.317766
-56.444592,115,10.871212
-20.266998,66,10.92489
-44.447164,81,10.995615
-60.4174,68,11.047122
-67.241134,87,11.111163
-65.33913,74,11.171967
-44.233729,99,11.251269
-38.833113,103,11.803026
-88.267234,101,11.902296
-73.123352,120,11.993248
-59.366739,125,12.100234
-64.233968,68,12.150514
-5.907196,121,12.79789
-61.386149,75,12.855028
-76.511199,72,12.909134
-35.289007,73,12.963405
-122.25215,111,13.050272
-77.604378,110,13.641649
-86.166218,94,13.716394
-22.435739,124,13.816183
77.900578,1000,15.817187
-56.641064,72,15.874104
-127.386186,113,15.967273
-42.890402,63,16.024409
-95.668515,132,16.702226
-29.884546,85,16.774639
-169.104466,106,16.855891
-41.031677,82,16.927654
-11.40494,113,17.037891
-90.202568,83,17.592446
-77.010243,115,17.686251
-35.626087,74,17.742218
-26.109067,81,17.805939
-61.986176,99,17.882091
-6.695633,89,18.538769
-28.239351,130,18.659163
-271.516616,135,18.768423
-153.137046,111,18.858259
-72.366117,99,18.936545
-144.385406,122,19.497563
-46.287141,100,19.575273
-239.329114,122,19.671416
-50.195694,104,19.756177
-78.771909,81,19.819223
-69.337397,96,20.376961
-57.988613,91,20.446221
-32.599022,80,20.502805
-44.98564,115,20.588236
-94.477283,79,20.64941
-26.605149,105,21.298946
-62.056502,119,21.414359
-14.310824,107,21.512419
-32.45736,75,21.572281
-78.350899,108,21.655238
-60.209494,98,22.252187
-72.55874,111,22.337203
-72.163564,125,22.883854
-99.693091,106,22.970955
-30.962079,98,23.045877
1.407871,93,23.596433
-13.987094,119,23.688869
-47.227614,97,23.767054
-34.729028,117,23.860235
-39.866575,125,24.452748
10.716913,115,24.538518
-20.808045,105,24.624669
-134.75161,128,24.730779
-46.185283,95,24.808586
-20.610335,133,25.401747
-154.153323,123,25.501132
-44.348009,124,25.602362
-11.249483,125,25.717469
-8.151131,152,26.325255
-0.98789,105,26.405689
-33.037113,127,26.505596
10.653917,126,26.604251
-40.601881,119,27.265291
-80.732023,343,27.576609
-42.14178,92,27.651872
21.766339,91,28.288345
41.362096,103,28.366554
91.600558,1000,30.267867
1.460612,158,30.401345
249.007284,460,31.249271
95.06526,1000,33.222096
206.215709,559,34.215422
224.657435,618,35.328947
26.196496,153,36.173687
-18.768676,141,36.312041
-116.817676,287,36.600054
-30.17421,96,37.198024
-114.252538,176,37.35119
9.226613,126,37.455617
16.47419,114,37.559616
29.376432,123,38.176024
245.648414,685,39.296716
12.707651,158,39.438572
202.620165,768,41.140442
147.780933,327,41.411931
-74.740844,231,42.088025
224.526733,581,43.094479
-29.150075,145,43.214991
-48.70034,131,43.784035
222.127845,344,44.12398
63.338539,121,44.231786
-0.976064,141,44.869063
-25.632736,116,44.971904
67.050646,1000,48.761667
-16.973779,192,48.929493
-21.567796,139,49.498504
129.767579,1000,50.835324
-6.418833,178,51.471812
23.526062,107,51.5718
22.061958,222,51.749745
-0.078886,201,52.394393
-1.527966,170,52.558649
-62.027612,121,52.653159
280.700818,373,53.412534
134.11006,1000,55.27147
-25.543764,105,55.348531
-36.772523,145,55.994627
9.551646,120,56.098373
49.571869,146,56.213976
1.776718,115,56.30218
-40.662558,133,56.95198
-16.297853,73,57.016398
5.928591,98,57.094983
64.700533,115,57.192113
-36.363345,133,57.299152
98.79604,1000,59.45815
6.677494,114,60.144765
39.203196,152,60.267956
-11.624092,90,60.340875
3.529537,127,60.462871
46.492649,148,61.264479
12.321549,142,61.377084
25.237755,172,61.514039
31.749815,152,62.223284
123.343118,1000,63.724495
-23.412765,178,64.495836
11.724103,177,64.647721
98.823557,1000,66.660615
110.256042,1000,68.589893
-125.881963,107,68.705489
36.414135,194,69.375541
243.476383,446,70.216434
4.969616,154,70.336426
-38.991094,197,70.50628
-10.715165,136,70.625292
-41.804813,144,71.211204
142.710002,1000,73.898299
213.216534,416,74.727299
175.39126,1000,76.048073
-62.240327,113,76.668736
-37.043114,153,76.794331
101.814428,1000,78.598017
-143.130246,105,78.678453
117.680239,1000,80.478061
-96.250083,141,80.597638
-35.017963,120,81.136713
89.748833,1000,83.112911
246.804915,402,83.431978
200.981784,282,84.142654
-31.972026,297,84.390464
107.787462,1000,86.279675
-74.192979,465,87.220261
27.601328,150,87.853617
8.826972,159,87.976187
282.98866,260,88.194029
71.495461,1000,90.078486
-3.776136,1000,91.983347
117.530535,1000,93.817204
244.912781,323,94.61055
152.804503,1000,97.131873
139.69131,1000,99.048716
34.653176,140,99.160616
23.032031,114,99.249686
-6.023424,171,99.88835
126.118197,1000,101.83182
64.854339,132,101.9507
60.179297,145,102.077667
16.698655,137,102.187233
-21.202112,133,102.842756
155.127211,1000,104.690522
264.82818,508,105.574759
2.76813,246,105.763688
8.60234,185,105.912107
16.772279,233,106.625975
-170.98142,88,106.696261
163.242791,1000,108.792021
16.941729,120,108.893393
39.87746,230,109.723602
48.409183,130,109.8304
-41.251765,151,109.958653
3.40164,196,110.720965
12.62374,135,110.832142
298.109688,305,111.744748
229.950226,422,112.112698
19.69469,215,112.905321
243.684668,896,136.147977
252.190083,424,136.548911
209.686031,393,143.555755
244.598286,317,153.271082
266.125993,273,153.553269
53.923202,127,163.686389
126.013826,1000,173.69274
246.691796,292,183.775567
43.738868,134,183.90681
285.991275,179,194.968696
266.143293,345,195.302038
211.255297,297,205.954206
286.312297,215,206.138113
23.502916,139,216.593159
27.284801,136,216.731698
215.716585,715,226.957107
35.485556,151,239.328494
285.450663,320,239.611933
-21.503351,146,239.741439
65.841129,157,249.853074
74.168035,147,250.009826
22.48673,220,254.974842
49.333757,160,255.097413
-44.405395,93,255.172299
28.450769,95,255.257151
260.643767,692,277.487242
283.963094,264,277.745409
-0.902978,192,277.930643
288.314707,226,291.15999
49.479402,156,291.298556
49.855954,139,291.414613
71.11923,140,297.01895
36.061066,188,297.178434
25.919636,147,297.303902
-18.65123,123,306.06797
108.768046,1000,328.574233
240.94499,406,328.956428
263.489534,251,338.212702
129.81782,1000,360.743098
276.965041,222,360.979221
250.21693,196,385.109011
229.349475,221,385.374229
213.871775,357,427.256949
180.435864,353,427.693811
135.013763,1000,518.833945
262.031777,576,606.285709
258.498495,237,606.527179
157.237578,450,644.218281
279.924939,373,688.525091
292.766806,280,689.650406
38.242753,165,689.814601
257.604593,284,735.807463
225.133898,326,785.72993
257.678541,239,785.941801
211.009973,299,825.050329
51.49339,153,825.211096
225.974543,212,825.416928
128.181271,1000,900.482675
264.114412,325,944.032952
252.940407,203,944.222104
226.329327,425,989.284072
233.66503,454,1029.047811
-139.221884,173,1029.279907
140.289408,696,1118.364696
216.889016,324,1118.648466
-9.117889,143,1162.121838
243.701884,206,1162.355515
263.728856,289,1205.567507
58.55592,128,1205.761764
261.257502,387,1250.008436
240.718735,265,1250.245307
43.901117,137,1250.379967
234.36398,366,1288.077777
6.399359,241,1328.35689
187.169656,463,1370.647008
190.298971,657,1415.244094
66.214132,1000,1491.502313
192.163679,496,1534.229846
249.231614,301,1534.520992
229.369121,404,1578.714331
242.215535,255,1617.606957
203.780163,260,1617.889772
-54.260778,172,1618.05673
276.671412,202,1662.478598
221.968812,227,1662.681979
163.217829,263,1700.430379
255.124002,208,1700.629091
128.671246,366,1744.524681
29.880325,138,1744.660086
2.140417,105,1744.752571
-49.162875,1000,1824.339139
282.114002,457,1868.20607
258.10339,282,1909.419986
178.988088,815,1955.335782
210.976733,496,1997.576347
288.494048,261,2043.71938
240.921709,206,2043.919708
248.199989,347,2079.802755
-103.318474,1000,2172.456048
248.770028,234,2172.67699
259.73822,266,2223.449882
299.656459,514,2266.916335
-55.534097,1000,2349.965122
-3.971017,127,2350.107507
-67.326551,1000,2437.21829
-42.194364,106,2437.315656
222.386224,248,2486.471939
-10.50224,103,2486.581941
-29.237768,1000,2567.482514
245.668919,342,2608.257637
-46.556052,117,2608.374439
5.528982,135,2608.525211
149.405793,1000,2697.072528
151.708057,1000,2786.462534
222.317426,215,2786.656235
