#{"t_start": 1710454843.736724, "env_id": "Pendulum-v1"}
r,l,t
-1076.490315,200,1.777022
-1569.692026,200,2.62334
-1134.202496,200,3.546094
-1301.475376,200,4.663551
-992.732192,200,5.26145
-1344.871678,200,18.410465
-1163.450392,200,19.287163
-1141.232543,200,20.268705
-1665.836246,200,21.09861
-1563.269367,200,21.929842
-1320.353731,200,30.147314
-1006.321259,200,30.313916
-1156.535385,200,31.361766
-1062.249072,200,32.462522
-1135.045702,200,33.503044
-1584.902643,200,41.090678
-1339.463417,200,42.10556
-1368.259038,200,42.945924
-1469.124391,200,43.717194
-1197.051675,200,44.736976
-1459.125786,200,53.108833
-1177.897446,200,53.733068
-1707.461547,200,54.532935
-1353.773171,200,55.447114
-988.436042,200,56.458326
-1129.443627,200,63.819206
-998.139583,200,64.41396
-1369.332394,200,65.09365
-988.782893,200,66.04036
-1322.344454,200,67.052949
-1250.401771,200,74.885552
-1039.802977,200,75.79318
-1294.480071,200,76.768298
-1351.270067,200,77.82858
-1493.262918,200,78.713259
-908.387507,200,81.789962
-879.301786,200,81.990773
-949.779645,200,82.762625
-782.773069,200,84.135578
-1362.716392,200,85.300741
-1195.722657,200,94.582483
-1069.667426,200,95.266812
-1188.063512,200,96.330233
-1032.984462,200,97.674781
-1257.695376,200,98.676593
-1284.844379,200,99.686936
-987.384422,200,106.717848
-1007.972308,200,107.452565
-1390.459124,200,107.870027
-1263.375767,200,108.802726
-1127.65952,200,109.56994
-1037.317977,200,118.070768
-1115.438196,200,119.849351
-939.234438,200,121.110343
-1137.195254,200,121.777205
-1103.515308,200,123.380465
-900.79719,200,131.947891
-1080.936725,200,132.922896
-1222.169844,200,133.750775
-1081.816314,200,134.49477
-1349.19251,200,135.118667
-887.638861,200,140.844838
-846.287561,200,141.971656
-939.324356,200,142.567384
-1490.940607,200,144.152715
-1084.755323,200,145.041879
-1115.121143,200,153.246508
-1179.1324,200,154.468584
-767.414339,200,155.348743
-786.339514,200,156.213504
-1151.506677,200,156.941871
-1001.812995,200,169.678175
-1176.882623,200,170.873138
